File,CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBug,HeuBug,HeuBugCount,RealBugCount
activemq-console/src/main/java/org/apache/activemq/console/filter/AmqMessagesQueryFilter.java,0,5,164,4,0,1,0,12,1,12,0,6,1,9,78,1,9,12,31,3,2,4,6,26,12,9,32,64,19,1.22,22,51,4,39,0,9,1,61,2,0,3,1,4,1.88888888888889,1,10,3.44444444444444,1,8,1.77777777777778,1,1,0.272727272727273,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/GroupPropertiesViewFilter.java,0,9,84,6,0,2,0,9,3,18,0,8,3,3,40,1,3,8,12,1,0,7,2,16,8,7,14,35,13,1.14,9,27,6,20,1,3,3,0,2,0,0,1,4,2.33333333333333,1,11,5,2,9,3.66666666666667,1,3,1.8,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/MapTransformFilter.java,0,12,332,8,0,1,0,37,3,23,0,8,3,12,112,1,12,35,61,11,0,8,1,110,35,12,63,178,81,0.63,42,144,8,112,2,12,3,0,2,0,9,1,9,2.75,1,18,7.58333333333333,2,48,6.25,1,3,1.5,0,1,1,1,1,2,1,1,0,1,1,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/MBeansAttributeQueryFilter.java,0,9,157,5,0,1,1,13,2,21,0,9,2,5,65,1,5,12,36,3,2,6,2,33,12,5,39,73,24,0.89,19,63,5,52,2,5,3,66,2,0,1,1,6,3.8,2,14,6.8,3,5,2.4,1,3,1.57142857142857,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/MBeansObjectNameQueryFilter.java,0,5,176,6,0,1,2,16,2,14,0,7,2,9,83,1,9,14,35,3,1,8,6,32,14,9,36,70,21,1.19,23,57,6,43,1,9,2,81,2,0,0,1,8,2.44444444444444,1,10,3.11111111111111,1,8,1.77777777777778,1,2,0.545454545454545,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/MBeansRegExQueryFilter.java,0,10,144,7,0,3,0,16,3,22,0,10,3,5,66,1,5,14,22,4,0,8,1,35,14,13,24,64,21,1.03,14,45,7,33,1,5,3,0,3,0,1,1,3,2.6,2,13,6.4,2,7,2.8,1,4,2.14285714285714,0,0,0,0,0,0,0.986111111111111,0,0,1,0,1,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/MessagesQueryFilter.java,0,4,124,3,0,1,0,9,1,11,0,6,1,7,59,1,7,9,26,2,2,3,5,18,9,7,27,50,14,1.18,15,41,3,32,0,7,1,64,2,0,0,1,3,1.71428571428571,1,9,3.57142857142857,1,4,1.42857142857143,1,1,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/PropertiesViewFilter.java,0,6,124,5,0,1,0,12,2,14,0,7,2,6,58,1,6,11,21,2,2,6,4,21,11,6,23,51,17,1.14,15,40,5,30,1,6,2,41,1,1,0,2,7,4,2,9,4.33333333333333,2,7,2.16666666666667,1,2,0.875,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/QueryFilter.java,0,1,41,1,2,1,0,2,1,7,0,6,1,2,28,1,2,2,7,0,1,1,0,1,2,2,7,8,0,3.5,5,7,1,6,0,2,1,100,0,4,0,0,10,8.5,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/RegExQueryFilter.java,0,7,138,4,0,1,1,13,2,17,0,9,2,6,70,1,6,12,23,5,0,5,1,27,12,6,25,53,17,1.32,15,42,4,32,1,6,2,66,2,1,0,1,3,2.33333333333333,1,12,4.66666666666667,1,5,2.16666666666667,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/ResultTransformFilter.java,0,3,81,2,0,1,0,6,1,10,0,6,1,5,47,1,5,6,12,3,1,2,2,7,6,5,13,24,6,1.96,10,19,2,14,0,5,1,40,1,1,0,2,3,2,1,6,3,1,2,1.2,1,1,0.428571428571429,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/StubQueryFilter.java,0,3,55,1,0,1,0,3,1,9,0,6,1,3,36,1,3,3,7,0,1,1,3,3,3,3,7,14,3,2.57,5,10,1,6,0,3,1,0,1,0,0,2,4,2,1,2,1.33333333333333,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/WildcardToMsgSelectorTransformFilter.java,0,8,72,2,0,1,0,8,2,16,0,7,2,3,39,1,3,5,11,2,0,5,1,16,5,3,11,27,10,1.44,6,21,2,15,1,3,3,0,3,0,0,1,3,1.66666666666667,1,5,3.66666666666667,2,2,1.66666666666667,1,1,0.8,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/WildcardToRegExTransformFilter.java,0,9,78,2,0,1,0,6,2,18,0,10,2,3,47,1,3,5,11,2,0,3,1,19,5,3,11,30,13,1.57,6,24,2,18,1,3,2,0,3,0,1,1,3,2,1,4,3,2,2,1.66666666666667,1,1,0.8,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/filter/WildcardTransformFilter.java,0,4,78,3,0,1,0,6,2,12,0,7,2,4,45,1,4,6,11,3,0,3,1,9,6,4,12,23,6,1.96,10,18,3,14,1,4,2,0,2,2,0,1,3,1.75,1,8,3,1,3,1.5,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/formatter/CommandShellOutputFormatter.java,0,6,262,7,0,1,0,38,2,11,0,4,2,18,103,1,18,38,41,0,2,7,18,73,38,18,50,137,62,0.75,23,112,7,80,0,18,2,61,1,0,0,2,3,2.27777777777778,1,11,3.83333333333333,0,7,2.11111111111111,1,2,0.904761904761905,0,0,0,0,0,0,0.99236641221374,0,0,1,0,2,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/formatter/OutputFormatter.java,0,1,131,1,17,1,0,17,1,5,0,4,1,17,84,1,17,17,26,0,0,1,0,0,17,17,26,27,0,3.11,20,26,1,25,0,17,1,0,0,1,0,0,1,1,1,1,0.0588235294117647,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/Main.java,1,16,367,9,0,1,2,57,4,23,2,4,4,13,74,2,13,52,71,0,5,11,12,157,52,19,76,244,112,0.3,50,188,9,138,2,11,4,84,1,0,0,2,6,3.53846153846154,1,18,7.30769230769231,1,25,7.38461538461539,1,4,1.75,0,0,0,0,0,0,0.411444141689373,0,0,3,0,2,TRUE,FALSE,0,1
activemq-console/src/main/java/org/apache/activemq/console/util/AmqMessagesUtil.java,1,2,61,1,0,1,3,6,1,2,5,0,1,6,16,1,6,6,22,0,0,1,5,8,6,6,22,34,5,0.47,11,27,1,20,0,1,1,100,1,0,7,1,4,3,0,6,3,1,1,1,1,3,0.333333333333333,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/util/JmxMBeansUtil.java,1,3,129,2,0,1,0,21,1,4,15,0,1,16,27,1,16,19,36,0,0,3,15,25,19,16,37,79,21,0.34,23,58,2,39,0,1,1,0,1,0,12,1,4,3,0,6,3.875,1,2,1.1875,1,1,0.277777777777778,0,0,0,0,0,0,0.992248062015504,0,0,1,0,1,FALSE,FALSE,0,0
activemq-console/src/main/java/org/apache/activemq/console/util/SimpleConsole.java,1,11,57,5,0,3,0,7,3,12,1,0,3,2,22,1,2,6,10,0,0,6,1,14,6,6,10,28,10,0.79,7,20,5,13,1,1,4,0,1,0,1,1,1,0.5,0,8,4.5,1,6,3.5,1,3,2.25,0,0,0,0,0,0,0.807017543859649,0,0,2,0,0,FALSE,FALSE,0,0
activemq-console/src/test/java/org/apache/activemq/simple/Consumer.java,1,11,80,4,0,2,0,5,3,16,1,2,3,2,33,1,2,5,20,0,0,4,1,16,5,4,20,35,9,0.94,13,29,4,25,3,1,3,0,1,0,2,1,3,1.5,0,9,5,1,6,3.5,1,2,1.6,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-console/src/test/java/org/apache/activemq/simple/Producer.java,1,10,73,3,0,1,1,4,2,12,1,0,2,2,27,1,2,4,23,0,0,3,1,16,4,2,24,36,9,0.75,11,33,3,28,2,1,2,50,1,0,2,1,4,2,0,12,6.5,1,4,2.5,1,1,0.75,0,0,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java,6,6,2110,10,1,1,5,256,2,11,3,4,2,161,816,6,161,245,346,21,59,10,133,551,245,165,374,1059,424,0.77,235,798,10,572,0,158,2,97,1,2,59,9,61,4.74534161490683,0,22,3.19254658385093,0,257,4.32919254658385,1,6,0.431952662721893,0,11,11,3,79,44,0.567298578199052,0.454545454545455,0,3,3,1,TRUE,TRUE,3,3
activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionConsumer.java,0,9,156,5,0,2,0,13,2,14,0,4,2,6,64,1,6,13,28,1,4,5,5,37,13,10,28,72,30,0.89,20,58,5,44,0,6,2,41,1,0,7,3,7,3.83333333333333,1,9,4.66666666666667,1,5,2.16666666666667,1,2,1.125,0,0,0,0,0,0,0.685897435897436,0,0,3,0,0,TRUE,FALSE,0,1
activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionFactory.java,1,4,843,7,0,1,6,113,1,7,1,2,1,83,254,2,83,111,162,7,30,7,75,229,111,85,162,468,184,0.54,123,346,7,236,0,82,1,97,2,3,18,6,116,7.01204819277108,0,40,2.49397590361446,1,16,1.6144578313253,1,3,0.232558139534884,0,3,3,1,22,3,0.581257413997628,1,0,3,1,2,TRUE,TRUE,1,1
activemq-core/src/main/java/org/apache/activemq/ActiveMQConnectionMetaData.java,1,3,148,1,0,1,4,9,1,7,0,4,1,9,60,1,9,9,28,0,6,1,8,30,9,9,27,64,21,0.94,24,48,1,35,0,9,1,96,1,0,0,2,1,0.333333333333333,0,3,1.22222222222222,1,1,1,1,0,0,0,0,0,0,0,0,0.695945945945946,0,0,3,0,0,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQDispatcher.java,0,1,23,1,1,1,0,1,1,1,0,0,1,1,16,1,1,1,4,0,0,1,0,0,1,1,4,5,0,3.2,2,4,1,3,0,1,1,0,0,5,1,0,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.391304347826087,0,0,3,0,0,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQInputStream.java,1,15,248,9,0,2,0,43,4,17,0,0,4,10,28,1,10,35,53,1,10,12,8,105,35,16,52,183,88,0.15,37,140,9,104,1,10,4,69,2,0,19,2,11,5.8,2,29,8.4,1,40,7,1,5,2.08333333333333,0,1,1,1,3,2,0.701612903225806,1,0,2,1,2,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageAudit.java,0,6,252,4,0,1,2,31,2,12,0,5,2,16,101,1,16,31,50,0,3,4,16,64,31,16,49,126,44,0.8,25,93,4,61,0,16,2,77,1,0,6,1,7,3.25,1,7,3.5,1,5,2,1,3,1.11111111111111,0,1,1,1,18,8,0.797619047619048,1,0,2,1,0,FALSE,TRUE,2,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageConsumer.java,5,12,1056,14,2,1,1,169,3,17,0,4,3,52,276,5,52,156,141,10,21,17,35,419,156,63,150,681,340,0.41,101,490,14,322,0,52,3,89,1,3,27,4,19,4.82692307692308,0,50,6.23076923076923,1,912,26.0961538461538,1,6,1.05172413793103,0,5,5,2,129,108,0.527462121212121,0.6,0,3,2,2,TRUE,TRUE,4,5
activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageProducer.java,0,6,289,10,0,1,0,35,2,11,0,4,2,17,116,1,17,33,46,7,7,10,10,66,33,17,46,142,62,0.82,31,108,10,75,0,17,2,78,2,2,13,3,14,3.58823529411765,1,29,3.52941176470588,0,162,10.8823529411765,1,2,0.578947368421053,0,1,1,1,3,2,0.57439446366782,1,0,2,1,2,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageProducerSupport.java,0,4,323,2,0,1,0,22,1,15,0,10,1,17,206,1,17,20,32,1,7,3,16,46,20,17,32,97,33,2.12,20,65,2,45,0,17,1,83,1,2,2,3,10,3.29411764705882,1,4,1.82352941176471,0,2,1.17647058823529,1,1,0.263157894736842,0,1,1,1,15,0,0.934984520123839,1,0,1,1,2,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQMessageTransformation.java,1,25,207,14,0,2,0,24,6,37,3,8,6,4,54,1,4,24,50,0,0,14,3,83,24,6,49,131,58,0.41,22,107,14,86,3,1,6,0,1,0,13,1,13,5.75,0,27,13.25,1,14,6,1,4,2.66666666666667,0,1,1,1,13,13,0.570048309178744,1,0,3,1,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQOutputStream.java,2,9,162,4,0,1,0,22,2,10,0,0,2,9,25,1,9,22,41,0,10,4,7,57,22,9,41,114,48,0.22,23,89,4,68,0,9,2,72,2,0,9,2,11,5.33333333333333,0,15,5.44444444444444,1,6,2.55555555555556,1,2,1.36363636363636,0,1,1,1,12,10,0.691358024691358,1,0,3,1,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQPrefetchPolicy.java,1,3,160,2,0,1,2,18,1,6,0,2,1,17,60,1,17,18,32,0,7,2,16,32,18,17,32,80,29,0.75,20,61,2,42,0,17,1,81,1,0,0,2,12,5.29411764705882,1,7,2.05882352941176,1,2,1.05882352941176,1,1,0.157894736842105,0,0,0,0,0,0,0.68125,0,0,4,0,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueBrowser.java,3,8,249,6,0,2,0,31,2,12,0,2,2,14,82,2,14,29,36,3,9,7,8,69,29,23,37,135,58,0.61,32,95,6,61,0,14,2,76,1,0,6,3,9,2.92857142857143,0,8,3.35714285714286,0,6,2.07142857142857,1,3,1,0,0,0,0,0,0,0.662650602409639,0,0,2,0,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueReceiver.java,0,5,87,1,0,1,0,2,1,13,0,8,1,2,60,1,2,2,12,1,0,1,1,4,2,2,9,19,3,3.16,8,12,1,9,0,2,1,0,2,0,3,2,8,4,0,3,2.5,2,1,1,1,0,0,0,0,0,0,0,0,0.563218390804598,0,0,3,0,0,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueSender.java,0,3,135,1,0,1,0,4,1,13,0,10,1,4,101,1,4,4,13,1,0,1,3,4,4,4,11,22,4,4.59,12,15,1,10,0,4,1,0,3,0,2,2,6,3.5,1,3,1.75,1,1,1,1,0,0,0,1,1,1,2,2,0.562962962962963,1,0,3,1,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQQueueSession.java,0,3,387,2,0,1,0,42,1,7,0,3,1,38,191,1,38,42,64,0,1,2,38,46,42,38,64,153,46,1.25,43,110,2,67,0,38,1,13,1,0,0,2,4,1.47368421052632,0,2,1.65789473684211,0,2,1.10526315789474,1,1,0.15,0,0,0,0,0,0,0.888888888888889,0,0,2,0,1,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQSession.java,0,6,1893,10,4,1,1,179,2,16,0,9,2,101,1031,5,101,168,209,20,21,16,77,404,168,109,227,714,315,1.44,148,542,10,386,0,101,2,94,1,1,50,6,28,4.16831683168317,0,42,4.23762376237624,0,192,4.45544554455446,1,4,0.476635514018692,0,4,4,1,16,11,0.672477548864237,1,0,2,1,2,TRUE,TRUE,2,2
activemq-core/src/main/java/org/apache/activemq/ActiveMQSessionExecutor.java,0,7,201,6,12,1,1,40,2,7,0,0,2,17,29,1,17,36,42,1,5,7,4,70,36,22,44,140,54,0.21,32,98,6,63,0,17,2,75,1,0,11,2,9,3.05882352941176,1,12,4.05882352941176,1,8,2.35294117647059,1,4,1.26315789473684,0,0,0,0,0,0,0.562189054726368,0,0,2,0,2,TRUE,TRUE,1,1
activemq-core/src/main/java/org/apache/activemq/ActiveMQSslConnectionFactory.java,0,8,78,3,0,2,0,4,2,17,0,8,2,2,42,1,2,4,15,1,3,3,1,11,4,4,15,30,9,1.4,6,24,3,19,0,2,2,0,3,0,4,1,5,4,3,8,5.5,3,3,2,1,1,0.75,0,0,0,0,0,0,0.948717948717949,0,0,2,0,0,FALSE,FALSE,0,0
activemq-core/src/main/java/org/apache/activemq/ActiveMQTopicPublisher.java,0,3,198,1,0,1,0,6,1,16,0,13,1,6,152,1,6,6,17,1,0,1,5,6,6,6,13,30,6,5.07,16,19,1,12,0,6,1,0,3,0,2,2,7,3.5,1,3,1.5,1,1,1,1,0,0,0,1,1,1,2,2,0.898989898989899,1,0,2,1,2,FALSE,FALSE,0,0
